City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,machali,-34.1833,-70.6667,284.27,62,100,4.12,CL,1722026915
254,aswan,24.0934,32.907,308.13,19,93,6.78,EG,1722027044
255,lorengau,-2.0226,147.2712,300.54,79,98,3.08,PG,1722027045
256,laguna,38.421,-121.4238,312.28,21,0,5.14,US,1722027047
257,floro,61.5996,5.0328,287.19,82,100,4.63,NO,1722027049
258,natal,-5.795,-35.2094,299.51,73,20,6.69,BR,1722026917
259,leua,48.2156,18.6071,296.2,52,13,2.08,SK,1722027052
260,hamilton,39.1834,-84.5333,303.15,42,0,4.12,US,1722027054
261,port shepstone,-30.7414,30.455,289.27,63,0,3.52,ZA,1722027055
262,malampaka,-3.1333,33.5333,294.98,32,28,2.38,TZ,1722027057
263,cova figueira,14.8905,-24.2934,293.55,83,73,0.5,CV,1722027058
264,dryden,49.7833,-92.7503,303.31,58,0,7.72,CA,1722027060
265,brigantine,39.4101,-74.3646,300.48,61,100,4.97,US,1722027063
266,duyun,26.2667,107.5167,296.5,91,85,1.39,CN,1722027065
267,jayapura,-2.5333,140.7,298.81,94,84,3.41,ID,1722027067
268,wenchang,30.904,118.4887,298.62,96,100,3.94,CN,1722027068
269,yelizovo,53.1873,158.3805,285.23,100,20,2.0,RU,1722027070
270,sandnessjoen,66.0217,12.6316,291.44,77,75,4.12,NO,1722027072
271,serik,36.9169,31.0989,305.23,61,0,2.28,TR,1722027073
272,new norfolk,-42.7826,147.0587,282.87,91,85,1.39,AU,1722027075
273,humberto de campos,-2.5983,-43.4611,299.22,68,27,3.06,BR,1722027077
274,port mathurin,-19.6833,63.4167,295.82,75,1,7.95,MU,1722027078
275,turpan,42.9333,89.1667,311.63,16,100,1.25,CN,1722027080
276,hilo,19.7297,-155.09,299.96,84,100,3.09,US,1722027081
277,zaysan,47.4667,84.8667,295.8,39,0,2.84,KZ,1722027083
278,rio grande,-32.035,-52.0986,290.21,84,0,3.09,BR,1722026832
279,quellon,-43.1167,-73.6167,281.38,81,42,8.13,CL,1722027086
280,pangody,65.85,74.4859,281.13,94,47,1.78,RU,1722027088
281,keflavik,64.0049,-22.5624,286.1,100,100,7.2,IS,1722027090
282,mount isa,-20.7333,139.5,292.02,77,100,2.57,AU,1722027091
283,ifrane,33.3333,-5.25,294.86,30,0,3.16,MA,1722027093
284,villa yapacani,-17.4,-63.8333,305.16,36,0,3.33,BO,1722027094
285,weno,7.4515,151.8468,298.12,88,100,1.54,FM,1722027096
286,port alfred,-33.5906,26.891,287.68,79,9,3.69,ZA,1722027098
287,hermanus,-34.4187,19.2345,284.15,83,0,5.69,ZA,1722027099
288,abilene,32.4487,-99.7331,308.97,31,0,2.57,US,1722026828
289,mossel bay,-34.1831,22.146,286.04,81,0,2.06,ZA,1722027102
290,mar del plata,-38.0023,-57.5575,284.16,88,0,4.92,AR,1722027104
291,juba,4.8517,31.5825,295.03,94,100,3.24,SS,1722027106
292,galliano,29.4422,-90.2992,304.26,65,75,2.43,US,1722027107
293,tarko-sale,64.9225,77.785,284.26,83,65,2.99,RU,1722027111
294,kayenta,36.7278,-110.2546,305.28,19,30,5.63,US,1722027112
295,nagqu,31.5,92.0,279.77,94,100,1.26,CN,1722027114
296,terrace,54.5163,-128.6035,292.71,63,100,0.0,CA,1722027115
297,grande prairie,55.1667,-118.8027,289.25,67,75,5.66,CA,1722027117
298,talcahuano,-36.7167,-73.1167,283.97,58,0,5.14,CL,1722027119
299,san antonio de pale,-1.4014,5.6325,296.39,86,96,4.97,GQ,1722027120
300,poisy,45.9231,6.0644,295.73,64,75,1.54,FR,1722027122
301,kunwi,36.2347,128.5728,301.69,94,94,1.62,KR,1722027124
302,ponta grossa,-25.095,-50.1619,291.25,57,100,1.36,BR,1722027125
303,chilecito,-29.1619,-67.4974,291.66,17,70,5.15,AR,1722027127
304,usevia,-7.1,31.2333,293.38,26,1,1.43,TZ,1722027129
305,komsomol'skiy,43.9783,46.6985,296.38,70,100,2.07,RU,1722027130
306,constantia,44.1833,28.65,293.54,70,0,3.97,RO,1722027132
307,craig,40.5153,-107.5464,300.94,15,75,4.76,US,1722027133
308,santa cruz,-17.8,-63.1667,305.85,48,20,8.23,BO,1722027135
309,butembo,0.15,29.2833,288.49,86,84,1.31,CD,1722027137
310,malango,-2.9627,119.9001,291.65,99,43,0.92,ID,1722027138
311,yangambi,0.8102,24.4336,295.87,86,60,0.79,CD,1722027140
312,sanctuary point,-35.1114,150.629,280.48,66,59,2.73,AU,1722027142
313,shanhaiguan,39.9988,119.7564,295.81,95,22,2.14,CN,1722027143
314,garissa,-0.4536,39.6401,297.32,68,28,8.13,KE,1722027145
315,kisangani,0.5167,25.2,296.12,86,48,0.68,CD,1722027148
316,villa gesell,-37.2639,-56.973,283.18,76,38,4.38,AR,1722027150
317,el calafate,-50.3408,-72.2768,273.46,95,100,2.66,AR,1722027152
318,brookings,44.3114,-96.7984,306.03,61,0,7.2,US,1722027153
319,staraya kulatka,52.7167,47.6167,285.05,68,59,2.58,RU,1722027155
320,saint-francois,46.4154,3.9054,295.19,75,0,1.54,FR,1722027156
321,polyarnyy,69.1989,33.4478,290.88,64,9,2.62,RU,1722027158
322,chernyshevskiy,63.0128,112.4714,288.51,93,100,1.44,RU,1722027163
323,dolores,-36.3132,-57.6792,284.44,64,0,3.4,AR,1722027165
324,port augusta,-32.5,137.7667,283.69,79,100,1.82,AU,1722027166
325,hami,42.8,93.45,304.43,17,52,2.86,CN,1722027168
326,vernon,50.2581,-119.2691,298.87,36,0,1.54,CA,1722026953
327,novo oriente,-5.5344,-40.7742,299.4,31,55,1.49,BR,1722027171
328,bazarak,35.3129,69.5152,289.76,45,0,5.34,AF,1722027173
329,sur,22.5667,59.5289,306.44,48,89,6.16,OM,1722027174
330,labrador city,52.9463,-66.9114,293.25,34,0,3.09,CA,1722027176
331,solleftea,63.1667,17.2667,290.07,90,87,1.57,SE,1722027178
332,tataouine,32.9297,10.4518,300.72,43,0,3.19,TN,1722027179
333,hobyo,5.3505,48.5268,297.33,88,74,10.79,SO,1722027181
334,tazacorte,28.629,-17.9293,295.69,78,0,5.14,ES,1722027183
335,nungua,5.6011,-0.0771,298.38,88,40,5.14,GH,1722027184
336,bambanglipuro,-7.95,110.2833,296.53,89,95,4.07,ID,1722027188
337,vesoul,47.5833,5.8333,295.6,76,82,0.54,FR,1722027189
338,suva,-18.1416,178.4415,293.86,94,75,3.09,FJ,1722027191
339,vikhorevka,56.1201,101.1636,292.92,93,100,0.87,RU,1722027193
340,detroit lakes,46.8172,-95.8453,303.18,73,0,6.69,US,1722027181
341,bereznik,62.8551,42.7072,286.96,61,100,1.9,RU,1722027196
342,ust'-ilimsk,58.0006,102.6619,290.17,94,100,1.1,RU,1722027197
343,tegueste,28.5167,-16.3167,297.64,94,20,7.2,ES,1722027199
344,rondonopolis,-16.4708,-54.6356,304.42,17,3,2.0,BR,1722027201
345,naze,28.3667,129.4833,300.66,86,57,5.17,JP,1722027202
346,nova vicosa,-17.8919,-39.3719,296.29,75,11,3.23,BR,1722027204
347,sitka,57.0531,-135.33,289.09,72,75,1.54,US,1722027207
348,ha giang,22.8333,104.9833,299.87,88,86,1.44,VN,1722027209
349,akureyri,65.6835,-18.0878,283.11,87,75,4.12,IS,1722027211
350,djibo,14.1022,-1.6306,306.35,47,84,5.67,BF,1722027212
351,al burayqah,30.4062,19.5739,300.75,77,0,6.69,LY,1722027214
352,roccella ionica,38.322,16.4009,298.6,75,0,2.67,IT,1722027215
353,tofol,5.3248,163.0078,301.36,79,100,5.71,FM,1722027217
354,akrehamn,59.2667,5.1833,288.94,82,40,3.09,NO,1722027219
355,pangoa,-12.1167,-73.0,304.16,43,8,2.23,PE,1722027220
356,vytegra,61.0064,36.4481,289.43,79,43,1.83,RU,1722027224
357,baiti,13.745,-14.7482,301.41,73,88,3.85,SN,1722027225
358,xai-xai,-25.0519,33.6442,290.87,80,0,4.67,MZ,1722027227
359,borogontsy,62.6683,131.1683,288.45,92,100,3.06,RU,1722027229
360,kingscliff,-28.2667,153.5667,285.04,100,2,1.54,AU,1722027230
361,colonia menno,-22.3667,-59.8167,305.51,26,99,2.5,PY,1722027232
362,udachny,66.4167,112.4,285.88,58,69,1.47,RU,1722027234
363,acaponeta,22.4964,-105.3594,303.99,74,51,1.84,MX,1722027235
